"tabela","colunas","chaves_estrangeiras","indices"
"agreements","6","0","2"
"anamneses","6","0","1"
"cache","3","0","1"
"cache_locks","3","0","1"
"contas_pagars","16","1","5"
"contas_recebers","18","3","7"
"employees","17","1","7"
"failed_jobs","7","0","2"
"fluxo_caixas","16","4","7"
"forma_pagamentos","5","0","2"
"group_anamneses","5","0","1"
"job_batches","10","0","1"
"jobs","7","0","2"
"migrations","3","0","1"
"odontogramas","6","1","2"
"pacientes","28","0","9"
"password_reset_tokens","3","0","1"
"patient_procedures","10","3","5"
"personal_access_tokens","10","0","4"
"procedures","13","0","5"
"reports","13","0","1"
"schedulings","16","0","17"
"sessions","6","0","3"
"suppliers","16","0","1"
"treatment_plans","3","0","1"
"users","8","0","2"
